text,title,note,category,amount,day_of_month,day_of_week,is_weekend
Quick Technical reference book for home,Quick Technical reference book for home,,education,21933.07,14,1,0
Bill for House cleaning service Urban Company with card Routine other item,Bill for House cleaning service Urban Company with card,Routine other item,other,2610.39,16,6,1
Purchase at Myntra clothes shopping today Monthly shopping budget expense,Purchase at Myntra clothes shopping today,Monthly shopping budget expense,shopping,4937.37,23,5,1
Dominos pizza party today Routine food item,Dominos pizza party today,Routine food item,food,2332.37,14,2,0
Quick PG accommodation fee urgent,Quick PG accommodation fee urgent,,rent,15452.12,14,4,0
Quick Concert musical event pass at store,Quick Concert musical event pass at store,,entertainment,1356.45,16,1,0
Purchase at Audible audiobooks urgent Paid via UPI for entertainment,Purchase at Audible audiobooks urgent,Paid via UPI for entertainment,entertainment,1817.0,24,1,0
Txn: Storage locker monthly rental with discount Personal spending on rent,Txn: Storage locker monthly rental with discount,Personal spending on rent,rent,36324.37,4,1,0
Bill for Web development workshop fee Monthly education budget expense,Bill for Web development workshop fee,Monthly education budget expense,education,4437.24,26,0,0
Quick Cycle repair & parts with card Personal spending on transport,Quick Cycle repair & parts with card,Personal spending on transport,transport,335.16,12,0,0
Quick Fresh meat and fish store urgent,Quick Fresh meat and fish store urgent,,food,2525.23,2,6,1
Online Cycle repair & parts,Online Cycle repair & parts,,transport,947.6,10,1,0
Spent on Organic fruit market Monthly food budget expense,Spent on Organic fruit market,Monthly food budget expense,food,1335.92,6,0,0
Bill for First aid kit supplies today Personal spending on health,Bill for First aid kit supplies today,Personal spending on health,health,3362.52,17,0,0
Paid for Water tanker for society urgent,Paid for Water tanker for society urgent,,rent,34045.55,19,2,0
Txn: Concert musical event pass at store Paid via UPI for entertainment,Txn: Concert musical event pass at store,Paid via UPI for entertainment,entertainment,1472.78,19,0,0
Quick Cult.fit fitness pass with card,Quick Cult.fit fitness pass with card,,health,4557.32,10,2,0
Purchase at Parking space monthly rent urgent Paid via UPI for rent,Purchase at Parking space monthly rent urgent,Paid via UPI for rent,rent,32767.67,19,3,0
Online Sneakers purchase with discount Monthly shopping budget expense,Online Sneakers purchase with discount,Monthly shopping budget expense,shopping,16178.82,16,0,0
Quick Dental clinic root canal visit at store Personal spending on health,Quick Dental clinic root canal visit at store,Personal spending on health,health,5479.92,26,2,0
Skillshare creative subscription urgent Monthly education budget expense,Skillshare creative subscription urgent,Monthly education budget expense,education,6581.56,13,5,1
Spent on BookMyShow movie tickets with discount Personal spending on entertainment,Spent on BookMyShow movie tickets with discount,Personal spending on entertainment,entertainment,1078.16,19,2,0
Online Bus pass monthly renewal at store Personal spending on transport,Online Bus pass monthly renewal at store,Personal spending on transport,transport,1095.13,28,2,0
Txn: IKEA home furniture at store Routine shopping item,Txn: IKEA home furniture at store,Routine shopping item,shopping,15119.49,5,6,1
Paid for House rent payment via UPI with discount,Paid for House rent payment via UPI with discount,,rent,29553.08,2,6,1
Bill for Pet food and veterinary care with discount,Bill for Pet food and veterinary care with discount,,other,5398.92,28,2,0
Purchase at Charity donation to NGO today,Purchase at Charity donation to NGO today,,other,1410.35,5,0,0
Coding bootcamp installment for home Personal spending on education,Coding bootcamp installment for home,Personal spending on education,education,10145.46,15,0,0
Laundry dry cleaning Paid via UPI for other,Laundry dry cleaning,Paid via UPI for other,other,4077.21,19,0,0
Purchase at YouTube Premium family plan via GPay Personal spending on entertainment,Purchase at YouTube Premium family plan via GPay,Personal spending on entertainment,entertainment,1735.53,9,3,0
Spent on YouTube Premium family plan with discount Paid via UPI for entertainment,Spent on YouTube Premium family plan with discount,Paid via UPI for entertainment,entertainment,1386.46,23,6,1
Quick YouTube Premium family plan urgent,Quick YouTube Premium family plan urgent,,entertainment,1461.49,5,4,0
Purchase at Zara shirt and jeans at store Paid via UPI for shopping,Purchase at Zara shirt and jeans at store,Paid via UPI for shopping,shopping,10173.98,7,1,0
Cycle repair & parts via GPay Personal spending on transport,Cycle repair & parts via GPay,Personal spending on transport,transport,1925.77,28,5,1
Purchase at Audible audiobooks urgent,Purchase at Audible audiobooks urgent,,entertainment,1773.55,2,3,0
Spent on Storage locker monthly rental Routine rent item,Spent on Storage locker monthly rental,Routine rent item,rent,13618.69,16,6,1
Bill for Co-living monthly rent urgent,Bill for Co-living monthly rent urgent,,rent,19438.48,18,6,1
Vitamin D & Calcium tablets today,Vitamin D & Calcium tablets today,,health,1145.65,7,4,0
Bill for Toll plaza FASTag recharge for home Paid via UPI for transport,Bill for Toll plaza FASTag recharge for home,Paid via UPI for transport,transport,3045.71,25,5,1
Quick Mobile postpaid monthly bill urgent Personal spending on other,Quick Mobile postpaid monthly bill urgent,Personal spending on other,other,2836.14,28,1,0
Quick Board game cafe bill with card Routine entertainment item,Quick Board game cafe bill with card,Routine entertainment item,entertainment,420.59,8,2,0
Purchase at Bowling & gaming arcade today Paid via UPI for entertainment,Purchase at Bowling & gaming arcade today,Paid via UPI for entertainment,entertainment,958.77,25,6,1
Quick Standup comedy show ticket via GPay Monthly entertainment budget expense,Quick Standup comedy show ticket via GPay,Monthly entertainment budget expense,entertainment,714.07,5,5,1
Paid for Decathlon sportswear and gear at store Monthly shopping budget expense,Paid for Decathlon sportswear and gear at store,Monthly shopping budget expense,shopping,3337.62,4,0,0
Broadband WiFi internet bill today Monthly other budget expense,Broadband WiFi internet bill today,Monthly other budget expense,other,3191.5,4,2,0
Quick Metro card monthly recharge urgent Routine transport item,Quick Metro card monthly recharge urgent,Routine transport item,transport,1070.63,15,5,1
Spent on Diesel filling for car Routine transport item,Spent on Diesel filling for car,Routine transport item,transport,206.44,28,2,0
Purchase at ATM cash withdrawal unaccounted with discount,Purchase at ATM cash withdrawal unaccounted with discount,,other,897.18,6,4,0
Purchase at Legal notary & document stamps for home Personal spending on other,Purchase at Legal notary & document stamps for home,Personal spending on other,other,2941.74,26,0,0
Bill for Courier speed post delivery today Routine other item,Bill for Courier speed post delivery today,Routine other item,other,1632.86,1,0,0
Purchase at Bike maintenance and repair with discount Paid via UPI for transport,Purchase at Bike maintenance and repair with discount,Paid via UPI for transport,transport,2431.19,25,3,0
Quick Apollo Pharmacy medicines urgent Monthly health budget expense,Quick Apollo Pharmacy medicines urgent,Monthly health budget expense,health,4856.63,18,2,0
Quick Watch purchase at Titan today Paid via UPI for shopping,Quick Watch purchase at Titan today,Paid via UPI for shopping,shopping,4798.17,27,3,0
Paid for Decathlon sportswear and gear today,Paid for Decathlon sportswear and gear today,,shopping,11405.69,25,6,1
Purchase at Physiotherapy session today Monthly health budget expense,Purchase at Physiotherapy session today,Monthly health budget expense,health,1666.4,6,1,0
Online Blood test and full body checkup with discount,Online Blood test and full body checkup with discount,,health,2322.65,16,1,0
Spent on Netflix monthly subscription Monthly entertainment budget expense,Spent on Netflix monthly subscription,Monthly entertainment budget expense,entertainment,2915.18,6,0,0
Spent on Ayurvedic medicines purchase with discount Personal spending on health,Spent on Ayurvedic medicines purchase with discount,Personal spending on health,health,5871.44,3,1,0
Txn: Coffee beans purchase for home Paid via UPI for food,Txn: Coffee beans purchase for home,Paid via UPI for food,food,1540.42,12,3,0
Paid for Pizza Hut dinner via GPay Paid via UPI for food,Paid for Pizza Hut dinner via GPay,Paid via UPI for food,food,309.41,3,4,0
Txn: Charity donation to NGO urgent Monthly other budget expense,Txn: Charity donation to NGO urgent,Monthly other budget expense,other,4921.78,4,6,1
Online Perfume & cosmetics store at store Monthly shopping budget expense,Online Perfume & cosmetics store at store,Monthly shopping budget expense,shopping,13382.09,7,3,0
Txn: Security deposit installment with discount Routine rent item,Txn: Security deposit installment with discount,Routine rent item,rent,20564.92,11,1,0
Purchase at Dominos pizza party with discount Personal spending on food,Purchase at Dominos pizza party with discount,Personal spending on food,food,2278.2,12,0,0
Txn: Zara shirt and jeans today Personal spending on shopping,Txn: Zara shirt and jeans today,Personal spending on shopping,shopping,6111.44,26,2,0
Txn: Hostel fees payment,Txn: Hostel fees payment,,rent,43753.4,26,5,1
Bill for LPG gas cylinder refill with card Paid via UPI for other,Bill for LPG gas cylinder refill with card,Paid via UPI for other,other,1567.46,3,5,1
Spotify premium music renewal for home,Spotify premium music renewal for home,,entertainment,2004.45,26,0,0
Txn: Cycle repair & parts for home Routine transport item,Txn: Cycle repair & parts for home,Routine transport item,transport,4418.46,26,3,0
Quick Amazon online purchase for home Routine shopping item,Quick Amazon online purchase for home,Routine shopping item,shopping,13149.43,2,3,0
Online Courier speed post delivery at store,Online Courier speed post delivery at store,,other,3443.54,12,2,0
Spent on Home repair and plumbing with card Paid via UPI for other,Spent on Home repair and plumbing with card,Paid via UPI for other,other,3233.71,10,6,1
Online Vitamin D & Calcium tablets,Online Vitamin D & Calcium tablets,,health,6252.16,13,5,1
Bill for Uber cab ride to office at store Monthly transport budget expense,Bill for Uber cab ride to office at store,Monthly transport budget expense,transport,1477.09,22,4,0
Online Books and stationery store via GPay Routine education item,Online Books and stationery store via GPay,Routine education item,education,15519.07,14,5,1
Paid for PVR cinemas IMAX tickets with card Personal spending on entertainment,Paid for PVR cinemas IMAX tickets with card,Personal spending on entertainment,entertainment,321.62,6,6,1
Paid for Chai Point tea with biscuits with discount Monthly food budget expense,Paid for Chai Point tea with biscuits with discount,Monthly food budget expense,food,767.66,19,5,1
Online Notebooks and pens set urgent Personal spending on education,Online Notebooks and pens set urgent,Personal spending on education,education,1701.65,20,5,1
Txn: Monthly apartment rent with discount Monthly rent budget expense,Txn: Monthly apartment rent with discount,Monthly rent budget expense,rent,42136.15,15,6,1
Quick Groceries at Reliance Smart for home Monthly food budget expense,Quick Groceries at Reliance Smart for home,Monthly food budget expense,food,2804.56,27,4,0
Hospital OPD registration with card Monthly health budget expense,Hospital OPD registration with card,Monthly health budget expense,health,6708.76,7,4,0
Txn: House rent payment via UPI today,Txn: House rent payment via UPI today,,rent,12578.42,22,1,0
Quick Interstate Volvo bus ticket with card,Quick Interstate Volvo bus ticket with card,,transport,3459.96,12,5,1
Paid for Legal notary & document stamps via GPay,Paid for Legal notary & document stamps via GPay,,other,4775.52,13,4,0
Online Hotstar subscription plan for home,Online Hotstar subscription plan for home,,entertainment,2726.86,11,6,1
Quick Board game cafe bill for home,Quick Board game cafe bill for home,,entertainment,1903.17,18,1,0
Purchase at Web development workshop fee for home Paid via UPI for education,Purchase at Web development workshop fee for home,Paid via UPI for education,education,24060.43,13,0,0
Nature's Basket gourmet items via GPay Routine food item,Nature's Basket gourmet items via GPay,Routine food item,food,3477.73,1,2,0
Bill for Apple store accessories Routine shopping item,Bill for Apple store accessories,Routine shopping item,shopping,13978.81,18,4,0
Petrol pump fuel refill with discount Personal spending on transport,Petrol pump fuel refill with discount,Personal spending on transport,transport,1632.67,9,2,0
Purchase at IKEA home furniture urgent Paid via UPI for shopping,Purchase at IKEA home furniture urgent,Paid via UPI for shopping,shopping,2017.53,19,1,0
Bill for Storage locker monthly rental with discount,Bill for Storage locker monthly rental with discount,,rent,11916.1,27,0,0
Quick Doctor consultation fee with card Routine health item,Quick Doctor consultation fee with card,Routine health item,health,6284.95,12,6,1
Paid for GRE / TOEFL exam registration at store,Paid for GRE / TOEFL exam registration at store,,education,18817.87,1,5,1
Purchase at Udemy online programming course,Purchase at Udemy online programming course,,education,8322.57,5,2,0
H&M summer collection today,H&M summer collection today,,shopping,17490.31,19,4,0
Quick Flat maintenance charge urgent Personal spending on rent,Quick Flat maintenance charge urgent,Personal spending on rent,rent,36454.73,5,2,0
Co-living monthly rent today Paid via UPI for rent,Co-living monthly rent today,Paid via UPI for rent,rent,15502.32,17,3,0
Online Diesel filling for car at store,Online Diesel filling for car at store,,transport,2220.98,7,4,0
Paid for IKEA home furniture urgent Routine shopping item,Paid for IKEA home furniture urgent,Routine shopping item,shopping,14071.19,22,4,0
Quick House rent payment via UPI today Personal spending on rent,Quick House rent payment via UPI today,Personal spending on rent,rent,19610.71,11,2,0
Spent on Dinner with friends at restaurant for home Paid via UPI for food,Spent on Dinner with friends at restaurant for home,Paid via UPI for food,food,2202.83,20,1,0
Txn: Broadband WiFi internet bill at store Personal spending on other,Txn: Broadband WiFi internet bill at store,Personal spending on other,other,4143.62,25,5,1
House rent payment via UPI at store Personal spending on rent,House rent payment via UPI at store,Personal spending on rent,rent,42957.64,28,6,1
Bill for Apollo Pharmacy medicines with card Paid via UPI for health,Bill for Apollo Pharmacy medicines with card,Paid via UPI for health,health,2579.92,1,2,0
Txn: Croma electronics cable & charger at store Routine shopping item,Txn: Croma electronics cable & charger at store,Routine shopping item,shopping,10017.07,18,3,0
Quick Uber cab ride to office Monthly transport budget expense,Quick Uber cab ride to office,Monthly transport budget expense,transport,1186.78,10,1,0
Online Doctor consultation fee Routine health item,Online Doctor consultation fee,Routine health item,health,719.46,22,6,1
PVR cinemas IMAX tickets urgent Paid via UPI for entertainment,PVR cinemas IMAX tickets urgent,Paid via UPI for entertainment,entertainment,2628.62,8,3,0
Bill for Water tanker for society with discount,Bill for Water tanker for society with discount,,rent,39670.91,3,1,0
Online Backpack for travel,Online Backpack for travel,,shopping,1099.64,10,2,0
Spent on House cleaning service Urban Company Routine other item,Spent on House cleaning service Urban Company,Routine other item,other,2146.0,12,5,1
Purchase at Eye checkup and new glasses Paid via UPI for health,Purchase at Eye checkup and new glasses,Paid via UPI for health,health,5081.18,27,0,0
Spent on Eye checkup and new glasses for home Personal spending on health,Spent on Eye checkup and new glasses for home,Personal spending on health,health,7197.97,3,5,1
Txn: Technical reference book today Personal spending on education,Txn: Technical reference book today,Personal spending on education,education,6388.08,14,2,0
Spent on Standup comedy show ticket at store,Spent on Standup comedy show ticket at store,,entertainment,2026.58,18,5,1
Purchase at H&M summer collection via GPay Personal spending on shopping,Purchase at H&M summer collection via GPay,Personal spending on shopping,shopping,7969.13,21,4,0
Paid for Car servicing & oil change with card Personal spending on transport,Paid for Car servicing & oil change with card,Personal spending on transport,transport,869.4,24,0,0
Quick Board game cafe bill urgent Routine entertainment item,Quick Board game cafe bill urgent,Routine entertainment item,entertainment,1439.86,5,6,1
Spent on Zara shirt and jeans via GPay,Spent on Zara shirt and jeans via GPay,,shopping,861.09,20,2,0
Txn: Kitchen cookware set at store Routine shopping item,Txn: Kitchen cookware set at store,Routine shopping item,shopping,12497.85,3,5,1
Online LPG gas cylinder refill for home Paid via UPI for other,Online LPG gas cylinder refill for home,Paid via UPI for other,other,1185.46,16,3,0
Txn: Rapido bike taxi at store Monthly transport budget expense,Txn: Rapido bike taxi at store,Monthly transport budget expense,transport,193.42,9,3,0
Txn: Apple store accessories with card Paid via UPI for shopping,Txn: Apple store accessories with card,Paid via UPI for shopping,shopping,3516.58,28,4,0
Online Laundry dry cleaning at store Monthly other budget expense,Online Laundry dry cleaning at store,Monthly other budget expense,other,2622.58,20,5,1
Bill for Online test series subscription today,Bill for Online test series subscription today,,education,15481.48,20,4,0
Online Blinkit instant grocery with discount Monthly food budget expense,Online Blinkit instant grocery with discount,Monthly food budget expense,food,2915.29,8,4,0
Online test series subscription today Monthly education budget expense,Online test series subscription today,Monthly education budget expense,education,13144.62,7,2,0
Purchase at House cleaning service Urban Company urgent Paid via UPI for other,Purchase at House cleaning service Urban Company urgent,Paid via UPI for other,other,2821.95,10,4,0
Online Subway sub & drink with discount,Online Subway sub & drink with discount,,food,425.69,4,1,0
Quick Airport cab taxi fare for home Personal spending on transport,Quick Airport cab taxi fare for home,Personal spending on transport,transport,2056.44,15,4,0
Paid for Bedsheet and pillow covers urgent Personal spending on shopping,Paid for Bedsheet and pillow covers urgent,Personal spending on shopping,shopping,6103.72,23,5,1
Paid for House rent payment via UPI with discount Monthly rent budget expense,Paid for House rent payment via UPI with discount,Monthly rent budget expense,rent,30362.9,17,5,1
Spent on Online test series subscription today Monthly education budget expense,Spent on Online test series subscription today,Monthly education budget expense,education,13983.02,25,1,0
Spent on Amazon Prime annual membership via GPay Monthly entertainment budget expense,Spent on Amazon Prime annual membership via GPay,Monthly entertainment budget expense,entertainment,700.01,14,2,0
Purchase at Protein powder supplement via GPay Personal spending on health,Purchase at Protein powder supplement via GPay,Personal spending on health,health,1116.92,7,0,0
Online Apollo Pharmacy medicines with discount,Online Apollo Pharmacy medicines with discount,,health,6872.21,26,0,0
Txn: Bank transaction charge with discount Paid via UPI for other,Txn: Bank transaction charge with discount,Paid via UPI for other,other,2777.06,3,4,0
Purchase at Haldirams snacks & sweets at store Personal spending on food,Purchase at Haldirams snacks & sweets at store,Personal spending on food,food,285.35,2,5,1
Spent on Spotify premium music renewal,Spent on Spotify premium music renewal,,entertainment,2067.26,10,2,0
Paid for Monthly apartment rent today Personal spending on rent,Paid for Monthly apartment rent today,Personal spending on rent,rent,44749.41,22,2,0
Bill for EV charging station fee Routine transport item,Bill for EV charging station fee,Routine transport item,transport,464.41,11,2,0
Paid for Academic journal access fee today Monthly education budget expense,Paid for Academic journal access fee today,Monthly education budget expense,education,21160.93,10,3,0
Purchase at Petrol pump fuel refill for home,Purchase at Petrol pump fuel refill for home,,transport,2395.38,7,5,1
Kitchen cookware set with card,Kitchen cookware set with card,,shopping,10456.06,3,3,0
Bill for Yoga class subscription urgent,Bill for Yoga class subscription urgent,,health,4298.05,12,1,0
Online Tax filing CA consultancy fee with discount,Online Tax filing CA consultancy fee with discount,,other,4867.08,8,5,1
Medplus health supplements with card Monthly health budget expense,Medplus health supplements with card,Monthly health budget expense,health,387.1,24,6,1
Quick Kitchen cookware set today Routine shopping item,Quick Kitchen cookware set today,Routine shopping item,shopping,1200.66,18,6,1
Txn: Amazon online purchase urgent Monthly shopping budget expense,Txn: Amazon online purchase urgent,Monthly shopping budget expense,shopping,4877.75,10,2,0
Paid for Netflix monthly subscription for home,Paid for Netflix monthly subscription for home,,entertainment,1155.15,20,0,0
Bill for Bus pass monthly renewal for home Paid via UPI for transport,Bill for Bus pass monthly renewal for home,Paid via UPI for transport,transport,4154.14,16,6,1
Online KFC chicken bucket via GPay,Online KFC chicken bucket via GPay,,food,2239.94,11,3,0
Tuition fee for coaching urgent Routine education item,Tuition fee for coaching urgent,Routine education item,education,14340.66,18,4,0
Bill for Supermarket food supplies for home Personal spending on food,Bill for Supermarket food supplies for home,Personal spending on food,food,343.8,9,6,1
Quick Pizza Hut dinner via GPay Paid via UPI for food,Quick Pizza Hut dinner via GPay,Paid via UPI for food,food,2049.92,6,4,0
Purchase at Brokerage fee for apartment for home Routine rent item,Purchase at Brokerage fee for apartment for home,Routine rent item,rent,33393.6,14,0,0
Bill for Bank transaction charge with discount Routine other item,Bill for Bank transaction charge with discount,Routine other item,other,4993.8,7,4,0
Paid for Cult.fit fitness pass for home Personal spending on health,Paid for Cult.fit fitness pass for home,Personal spending on health,health,6322.56,3,3,0
Spent on Breakfast at Saravana Bhavan at store Paid via UPI for food,Spent on Breakfast at Saravana Bhavan at store,Paid via UPI for food,food,1269.59,24,6,1
Spent on Health insurance premium with card,Spent on Health insurance premium with card,,health,6612.68,22,1,0
Online Flipkart electronics sale today,Online Flipkart electronics sale today,,shopping,12960.72,4,0,0
Paid for Doctor consultation fee for home Monthly health budget expense,Paid for Doctor consultation fee for home,Monthly health budget expense,health,3841.63,4,4,0
Purchase at Apollo Pharmacy medicines at store Personal spending on health,Purchase at Apollo Pharmacy medicines at store,Personal spending on health,health,2702.87,10,2,0
Paid for Standup comedy show ticket urgent Routine entertainment item,Paid for Standup comedy show ticket urgent,Routine entertainment item,entertainment,617.25,4,0,0
Bill for Flat maintenance charge for home Routine rent item,Bill for Flat maintenance charge for home,Routine rent item,rent,15842.08,19,1,0
Purchase at Metro card monthly recharge for home Monthly transport budget expense,Purchase at Metro card monthly recharge for home,Monthly transport budget expense,transport,2455.57,5,0,0
Paid for Broadband WiFi internet bill today Paid via UPI for other,Paid for Broadband WiFi internet bill today,Paid via UPI for other,other,417.42,13,1,0
Purchase at Pet food and veterinary care for home,Purchase at Pet food and veterinary care for home,,other,4922.91,3,6,1
Paid for LPG gas cylinder refill with discount Routine other item,Paid for LPG gas cylinder refill with discount,Routine other item,other,673.85,22,5,1
Txn: Gardening plants and soil at store,Txn: Gardening plants and soil at store,,other,947.96,9,2,0
Bill for College semester tuition fee for home Monthly education budget expense,Bill for College semester tuition fee for home,Monthly education budget expense,education,11604.89,3,3,0
Online Room rent for current month with discount Routine rent item,Online Room rent for current month with discount,Routine rent item,rent,38830.65,25,2,0
Paid for Auto rickshaw cash fare today Monthly transport budget expense,Paid for Auto rickshaw cash fare today,Monthly transport budget expense,transport,3688.11,11,4,0
Purchase at Parking space monthly rent with discount Paid via UPI for rent,Purchase at Parking space monthly rent with discount,Paid via UPI for rent,rent,21032.66,8,4,0
Spent on Croma electronics cable & charger with discount Routine shopping item,Spent on Croma electronics cable & charger with discount,Routine shopping item,shopping,7155.17,7,6,1
Quick Web development workshop fee for home Personal spending on education,Quick Web development workshop fee for home,Personal spending on education,education,13840.45,6,5,1
Online Storage locker monthly rental with card Paid via UPI for rent,Online Storage locker monthly rental with card,Paid via UPI for rent,rent,28686.53,11,4,0
Online Brokerage fee for apartment via GPay Paid via UPI for rent,Online Brokerage fee for apartment via GPay,Paid via UPI for rent,rent,17321.43,3,4,0
Quick Office space rent share for home Monthly rent budget expense,Quick Office space rent share for home,Monthly rent budget expense,rent,24771.81,3,1,0
Car wash & detailing via GPay Paid via UPI for transport,Car wash & detailing via GPay,Paid via UPI for transport,transport,2990.92,18,2,0
Online Language learning app subscription at store Routine education item,Online Language learning app subscription at store,Routine education item,education,5537.92,10,4,0
Bill for Yoga class subscription with card,Bill for Yoga class subscription with card,,health,4745.27,17,3,0
Toll plaza FASTag recharge for home Monthly transport budget expense,Toll plaza FASTag recharge for home,Monthly transport budget expense,transport,4059.79,1,5,1
Purchase at PVR cinemas IMAX tickets,Purchase at PVR cinemas IMAX tickets,,entertainment,857.91,13,5,1
Quick Club weekend party entry today Personal spending on entertainment,Quick Club weekend party entry today,Personal spending on entertainment,entertainment,1417.97,22,1,0
Txn: LPG gas cylinder refill today Routine other item,Txn: LPG gas cylinder refill today,Routine other item,other,5075.63,27,3,0
Spent on Toll plaza FASTag recharge via GPay Monthly transport budget expense,Spent on Toll plaza FASTag recharge via GPay,Monthly transport budget expense,transport,101.63,5,5,1
Spent on Legal notary & document stamps with card Paid via UPI for other,Spent on Legal notary & document stamps with card,Paid via UPI for other,other,909.6,28,3,0
Spent on Language learning app subscription with discount,Spent on Language learning app subscription with discount,,education,12980.17,27,3,0
Txn: Skillshare creative subscription via GPay Monthly education budget expense,Txn: Skillshare creative subscription via GPay,Monthly education budget expense,education,10906.34,19,3,0
Purchase at Backpack for travel today,Purchase at Backpack for travel today,,shopping,16707.53,12,0,0
Bill for Breakfast at Saravana Bhavan with card Monthly food budget expense,Bill for Breakfast at Saravana Bhavan with card,Monthly food budget expense,food,2081.31,5,5,1
Paid for Protein powder supplement with card Monthly health budget expense,Paid for Protein powder supplement with card,Monthly health budget expense,health,2112.8,22,5,1
Bill for Doctor consultation fee,Bill for Doctor consultation fee,,health,3857.18,16,4,0
Bill for Board game cafe bill urgent Monthly entertainment budget expense,Bill for Board game cafe bill urgent,Monthly entertainment budget expense,entertainment,1009.07,23,4,0
Ayurvedic medicines purchase with discount,Ayurvedic medicines purchase with discount,,health,4709.5,2,5,1
Purchase at Apollo Pharmacy medicines with discount,Purchase at Apollo Pharmacy medicines with discount,,health,843.58,3,6,1
Spent on Ayurvedic medicines purchase urgent Routine health item,Spent on Ayurvedic medicines purchase urgent,Routine health item,health,2346.69,1,5,1
Spent on Quarterly rent transfer to landlord via GPay Routine rent item,Spent on Quarterly rent transfer to landlord via GPay,Routine rent item,rent,31366.23,26,1,0
Online Eye checkup and new glasses via GPay Monthly health budget expense,Online Eye checkup and new glasses via GPay,Monthly health budget expense,health,6435.1,11,0,0
Online Diesel filling for car today Personal spending on transport,Online Diesel filling for car today,Personal spending on transport,transport,3478.14,22,3,0
Bill for Bus pass monthly renewal Monthly transport budget expense,Bill for Bus pass monthly renewal,Monthly transport budget expense,transport,2908.06,2,1,0
Online House cleaning service Urban Company urgent,Online House cleaning service Urban Company urgent,,other,2909.97,8,3,0
Purchase at Coding bootcamp installment via GPay Paid via UPI for education,Purchase at Coding bootcamp installment via GPay,Paid via UPI for education,education,13495.36,1,2,0
Bill for House cleaning service Urban Company,Bill for House cleaning service Urban Company,,other,674.45,21,2,0
Purchase at Language learning app subscription for home Monthly education budget expense,Purchase at Language learning app subscription for home,Monthly education budget expense,education,7122.26,9,5,1
Txn: Coding bootcamp installment at store Personal spending on education,Txn: Coding bootcamp installment at store,Personal spending on education,education,13238.35,11,4,0
Paid for Swiggy order for dinner,Paid for Swiggy order for dinner,,food,1510.02,4,5,1
Txn: Pet food and veterinary care urgent Monthly other budget expense,Txn: Pet food and veterinary care urgent,Monthly other budget expense,other,1586.19,1,4,0
Txn: Monthly apartment rent with card Monthly rent budget expense,Txn: Monthly apartment rent with card,Monthly rent budget expense,rent,33323.0,3,6,1
Spent on Airport cab taxi fare with card Routine transport item,Spent on Airport cab taxi fare with card,Routine transport item,transport,3145.66,10,3,0
Online Office space rent share urgent Routine rent item,Online Office space rent share urgent,Routine rent item,rent,35774.37,9,1,0
Society maintenance bill today Monthly rent budget expense,Society maintenance bill today,Monthly rent budget expense,rent,20543.62,9,6,1
Online Cult.fit fitness pass with card Personal spending on health,Online Cult.fit fitness pass with card,Personal spending on health,health,4035.43,20,3,0
Paid for Cycle repair & parts via GPay Paid via UPI for transport,Paid for Cycle repair & parts via GPay,Paid via UPI for transport,transport,2455.81,7,4,0
Online Water tanker for society urgent Monthly rent budget expense,Online Water tanker for society urgent,Monthly rent budget expense,rent,9131.48,3,4,0
Protein powder supplement with discount Monthly health budget expense,Protein powder supplement with discount,Monthly health budget expense,health,1361.06,2,5,1
Spent on Kindle e-book purchase for home,Spent on Kindle e-book purchase for home,,education,22663.03,1,4,0
Quick Gardening plants and soil today Monthly other budget expense,Quick Gardening plants and soil today,Monthly other budget expense,other,5079.89,18,1,0
Online Fresh meat and fish store with card Routine food item,Online Fresh meat and fish store with card,Routine food item,food,2037.28,11,5,1
First aid kit supplies with card Routine health item,First aid kit supplies with card,Routine health item,health,3049.77,3,6,1
Txn: Courier speed post delivery via GPay Paid via UPI for other,Txn: Courier speed post delivery via GPay,Paid via UPI for other,other,3371.41,22,1,0
Paid for First aid kit supplies for home Paid via UPI for health,Paid for First aid kit supplies for home,Paid via UPI for health,health,3994.73,24,1,0
Txn: Ola auto ride,Txn: Ola auto ride,,transport,3252.84,8,3,0
Purchase at Coursera specialization certification with discount Paid via UPI for education,Purchase at Coursera specialization certification with discount,Paid via UPI for education,education,13581.07,1,0,0
Bill for Spotify premium music renewal Personal spending on entertainment,Bill for Spotify premium music renewal,Personal spending on entertainment,entertainment,1334.83,26,5,1
Txn: LPG gas cylinder refill with card Personal spending on other,Txn: LPG gas cylinder refill with card,Personal spending on other,other,317.58,16,5,1
Breakfast at Saravana Bhavan at store Personal spending on food,Breakfast at Saravana Bhavan at store,Personal spending on food,food,2490.38,1,1,0
Paid for Dinner with friends at restaurant with discount,Paid for Dinner with friends at restaurant with discount,,food,2185.94,3,6,1
Online House rent payment via UPI at store Personal spending on rent,Online House rent payment via UPI at store,Personal spending on rent,rent,7524.4,14,2,0
Paid for Skillshare creative subscription via GPay Personal spending on education,Paid for Skillshare creative subscription via GPay,Personal spending on education,education,8378.27,25,0,0
Paid for Car servicing & oil change with card Paid via UPI for transport,Paid for Car servicing & oil change with card,Paid via UPI for transport,transport,1268.83,6,5,1
Online Hotstar subscription plan at store Monthly entertainment budget expense,Online Hotstar subscription plan at store,Monthly entertainment budget expense,entertainment,2791.82,5,0,0
Spent on Web development workshop fee Monthly education budget expense,Spent on Web development workshop fee,Monthly education budget expense,education,22050.74,1,0,0
